show,season,unique_id,full_name,age,hometown,occupation
Bachelor,5,05_DESHAUN_W,DeShaun Warner,25,"Phillipsburg, New Jersey",Account manager/sales
Bachelor,5,05_DOLORES_F,Dolores Farburg,26,"Madison, New Jersey",Account manager
Bachelor,5,05_FRANCINE_J,Francine Jones,25,"Houston, Texas",Retail manager
Bachelor,5,05_HOLLY_R,Holly Reeder,26,"Tulsa, Oklahoma",Bank representative
Bachelor,5,05_JEANMARIE_C,Jean-Marie Callahan,26,"Gibson, North Carolina",Hair stylist
Bachelor,5,05_JENNY_S,Jenny De Schiralli,26,"Carrboro, North Carolina",Swim instructor/nanny/personal trainer
Bachelor,5,05_JENNY_M,Jenny Matthews,24,"Canton, Michigan",Retail manager
Bachelor,5,05_JESSICA_B,Jessica Bowlin,22,"Huntington Beach, California",Student
Bachelor,5,05_JESSICA_H,Jessica Holcomb,25,"Pearsall, Texas",Attorney
Bachelor,5,05_JESSICA_K,Jessica Kyron,21,"Cincinnati, Ohio",Student
Bachelor,5,05_JULIE_D,Julie Durda,24,"Sacramento, California",Professional Cheerleader
Bachelor,5,05_KAREN_L,Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical sales
Bachelor,5,05_KATIE_G,Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye and Skin Center manager
Bachelor,5,05_KRISTIN_C,Kristin Clearwater,25,"Sausalito, California",Singer
Bachelor,5,05_KRISTY_R,Kristy Romero,25,"Dearborn, Michigan",Student
Bachelor,5,05_MANDY_C,Mandy Clemens,25,"San Diego, California",Professional soccer player
Bachelor,5,05_MANDY_J,Mandy Jaye Jeffreys,26,"Midland, Texas",Designer for an architect firm
Bachelor,5,05_RACHEL_C,Rachel Clementi,26,"Buffalo, New York",Fashion public relations manager
Bachelor,5,05_SUZIE_W,Suzie Williams,23,"Ann Arbor, Michigan",Prosthetic technician
Bachelor,5,05_TARA_H,Tara Huckeby,23,"Shawnee, Oklahoma",General contractor
Bachelor,5,05_TRISH_S,Trish Schneider,28,"Atlanta, Georgia",Model
Bachelorette,5,05_ADAM_D,Adam Duvendeck,27,"Santa Barbara, California",Olympic Cyclist
Bachelorette,5,05_BRAD_S,Brad Seberhagen,27,"Park Ridge, Illinois",Financial Advisor
Bachelorette,5,05_BRIAN_D,Brian Duke,32,"Birmingham, Alabama",IT Consultant
Bachelorette,5,05_BRIAN_V,Bryan Vaderman,28,"Lawton, Oklahoma",High School Coach
Bachelorette,5,05_BRYCE_H,Bryce Harlow,31,"Fort Lauderdale, Florida",Furniture Dealer
Bachelorette,5,05_CALEB_K,Caleb Kuhl,27,"Kansas City, Missouri",Photographer
Bachelorette,5,05_DAVID_G,David Good,27,"West Alexandria, Ohio",Trucking Contractor
Bachelorette,5,05_ED_S,Ed Swiderski,29,"Monroe, Michigan",Technology Consultant
Bachelorette,5,05_GREG_B,Greg Bilbro,31,"Albuquerque, New Mexico",Entrepreneur
Bachelorette,5,05_JAKE_P,Jake Pavelka,31,"Denton, Texas",Commercial Pilot
Bachelorette,5,05_JESSE_K,Jesse Kovacs,27,"Carmel Valley, California",Wine Maker
Bachelorette,5,05_JOHN_H,John Hardesty,27,"Boise, Idaho",Branding Consultant
Bachelorette,5,05_JOHN_P,John Presser,29,"Fort Wayne, Indiana",Marketing Specialist
Bachelorette,5,05_JOSH_Y,Josh Yocam,25,"Tustin, California",Lifeguard
Bachelorette,5,05_JUAN_B,Juan Barbieri,35,"Buenos Aires, Argentina",General Contractor
Bachelorette,5,05_JULIEN_H,Julien Hug,34,"San Diego, California",Restaurateur
Bachelorette,5,05_KIPTYN_L,Kiptyn Locke,31,"Encinitas, California",Business Developer
Bachelorette,5,05_KYLE_Y,Kyle Yauch,26,"Austin, Texas",Graphic Designer
Bachelorette,5,05_MARK_H,Mark Huebner,26,"Woodstock, Illinois",Pizza Entrepreneur
Bachelorette,5,05_MATHUE_J,Mathue Johnson,25,"Andover, Kansas",Personal Trainer
Bachelorette,5,05_MICHAEL_S,Michael Stagliano,25,"Tacoma, Washington",Break Dance Instructor
