SHOW,SEASON,538_NAME,FULL_NAME,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
Bachelorette,5,05_JAKE_P,Jake Pavelka,,R,,,,E,,,,,,D1,,D10,D8,D6,,,,
Bachelorette,5,05_JESSE_K,Jesse Kovacs,,,,R,R,,E,,,,,D7,,D10,D1,D6,D1,,,
Bachelorette,5,05_JOHN_H,John Hardesty,E,,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_JOHN_P,John Presser,E,,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_JOSH_Y,Josh Yocam,E,,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_JUAN_B,Juan Barbieri,,R,,E,,,,,,,,D7,D11,D10,,,,,,
Bachelorette,5,05_JULIEN_H,Julien Hug,,E,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_KIPTYN_L,Kiptyn Locke,,,,R,,R,,,,E,,D7,D11,D1,D8,D6,D1,D1,D1,D1
Bachelorette,5,05_KYLE_Y,Kyle Yauch,E,,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_MARK_H,Mark Huebner,,,,R,E,,,,,,,D7,D11,D2,D8,,,,,
Bachelorette,5,05_MATHUE_J,Mathue Johnson,,E,,,,,,,,,,D8,,,,,,,,
Bachelorette,5,05_MICHAEL_S,Michael Stagliano,,,,,R,,E,,,,,D8,D11,D10,D1,D6,D1,,,
Bachelorette,5,05_MIKE_S,Mike Steinberg,,R,,ED,,,,,,,,D7,D11,D2,,,,,,
Bachelorette,5,05_REID_R,Reid Rosenthal,,,,,,R,,,E,,,,D11,D10,D8,D1,D1,D1,D1,
Bachelorette,5,05_ROBBY_D,Robby Descant,,,R,,,ED,,,,,,,D11,D10,D8,D1,,,,
Bachelorette,5,05_SASHA_P,Sasha Petrovic,,,ED,,,,,,,,,D8,D1,,,,,,,
Bachelorette,5,05_SIMON_A,Simon Ambrose,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,5,05_STEPHEN_R,Stephen Reich,E,,,,,,,,,,,,,,,,,,,
Bachelorette,5,05_TANNER_F,Tanner Fanello,,,E,,,,,,,,,,D11,,,,,,,
Bachelorette,5,05_TANNER_P,Tanner Pope,,,,,,E,,,,,,D8,D11,D10,D8,D6,,,,
Bachelorette,5,05_WES_H,Wes Hayden,,R,,,,,,E,,,,D8,D11,D10,D8,D6,D1,D1,,
Bachelor,6,06_ABBY,Abby,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_ALMA,Alma,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_AMANDA,Amanda,,,E,,,,,,,,,,,,,,,,,
Bachelor,6,06_AMY,Amy,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_ANDREA,Andrea,,,,,E,,,,,,,,D1,,,,,,,
Bachelor,6,06_ASHLEY,Ashley,,E,,,,,,,,,,,,,,,,,,
Bachelor,6,06_CAROLYN,Carolyn,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_CHERESSE,Cheresse,,,,,,E,,,,,,D1,,,,,,,,
Bachelor,6,06_CYNTHIA,Cynthia,,,,,,,E,,,,,,,,D1,D1,D1,,,
Bachelor,6,06_ELIZABETH,Elizabeth,,,,E,,,,,,,,,,D1,,,,,,
Bachelor,6,06_HEATHER,Heather Cranford,,,E,,,,,,,,,,D2,,,,,,,
Bachelor,6,06_JAYNE,Jayne,,,,,E,,,,,,,D1,,,D1,,,,,
Bachelor,6,06_JENNIFER,Jennifer,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_KELLY,Kelly,,E,,,,,,,,,,,,,,,,,,
Bachelor,6,06_KERRY,Kerry,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_KRISTIE,Kristie,,,E,,,,,,,,,,,,,,,,,
